A,B,C,D,E,score
0.18517059,0.012469411,0.64388335,0.00051796436,0.7064771,64.94838
0.10938221,0.26444662,0.83044,0.9360244,0.15274811,67.86424
0.8798168,0.26830244,0.6871273,0.6943326,0.049413204,72.35665
0.015239179,0.7926208,0.06591815,0.49300104,0.010856569,69.13069
0.021095574,0.48083204,0.96460545,0.12490487,0.39993656,65.814804
0.36269188,0.20602244,0.8500672,0.11323327,0.5191784,66.72923
0.24116606,0.6663972,0.17075753,0.44767135,0.124694645,74.46776
0.04410982,0.12595373,0.31638122,0.20772314,0.25433946,66.873215
0.56931686,0.8514682,0.24778861,0.26077563,0.89499164,70.703125
0.70314866,0.23466069,0.6246089,0.78184664,0.49837583,76.203094
0.22403306,0.5679543,0.40441006,0.37699383,0.26600373,72.91832
0.54240376,0.60641634,0.99805707,0.96919614,0.80021983,68.90442
0.11052638,0.54235804,0.49717999,0.5357474,0.87491393,69.46054
0.54919994,0.653132,0.69688755,0.047916412,0.9169382,67.07938
0.13969201,0.48865527,0.21450365,0.24379003,0.89727753,67.980484
0.38610488,0.5783081,0.8546758,0.16401333,0.11870694,67.31667
0.23500282,0.42198282,0.036786973,0.86571777,0.058847487,74.40254
0.97662526,0.5000173,0.87026656,0.77308416,0.30306792,72.60722
0.5986125,0.028493166,0.3737958,0.45914018,0.40077198,72.789536
0.9140923,0.94409287,0.26581883,0.091154754,0.9222634,68.50879
0.17806935,0.89219546,0.7876831,0.64092666,0.18194383,69.36635
0.79328203,0.5332323,0.3453517,0.589297,0.35227984,84.92603
0.49849695,0.44863683,0.97691536,0.48216337,0.05892396,68.13953
0.7544937,0.5295086,0.6820894,0.15245122,0.19924629,69.84685
0.38011396,0.94179195,0.03020674,0.8561497,0.16956621,75.77124
0.7913735,0.9402278,0.43528956,0.7354571,0.9525195,73.4236
0.14184868,0.6303961,0.9389007,0.2417633,0.6912499,65.93266
0.37218136,0.21060789,0.77710867,0.26548135,0.35650837,68.237015
0.030568182,0.59734976,0.49019158,0.6766769,0.09263128,71.29569
0.19969207,0.26278543,0.10869956,0.6965114,0.7869718,71.93918
0.2400738,0.4922694,0.049298227,0.021814525,0.282152,68.61276
0.683026,0.2004143,0.8894774,0.3825311,0.48073316,68.59877
0.42991972,0.08575493,0.77048796,0.22967613,0.9055131,66.03884
0.036945462,0.94380796,0.30858332,0.9790986,0.8863191,68.84395
0.94007194,0.029686809,0.5609784,0.25996858,0.2422154,69.01113
0.876282,0.43265724,0.13878626,0.796484,0.17878497,82.914444
0.78587854,0.44300556,0.8481512,0.12890667,0.20782274,68.30369
0.86142445,0.93731844,0.2749964,0.62549394,0.6305224,77.93071
0.4227751,0.42498195,0.6092846,0.75071377,0.8191748,73.04137
0.20793468,0.67152905,0.6810332,0.77275616,0.3412689,73.20936
0.016512156,0.5863004,0.8104485,0.6772005,0.42243195,68.578964
0.8082983,0.6122522,0.79827005,0.47857106,0.03570813,70.66416
0.9663832,0.7095332,0.1873939,0.7048089,0.7155845,79.04207
0.16322654,0.017496467,0.4999237,0.3665673,0.5676937,67.905525
0.52204967,0.56609404,0.28225702,0.2284931,0.59290195,74.15146
0.95440674,0.9013411,0.16238779,0.3258838,0.44084972,74.22569
0.022269845,0.37506706,0.32117724,0.50244546,0.538257,70.64674
0.91628957,0.71489775,0.96515536,0.28002453,0.6012944,68.28096
0.39775723,0.09594536,0.12055701,0.96847713,0.48443735,74.0334
0.7103731,0.24277323,0.13056809,0.55249566,0.97480035,72.18953
0.19892925,0.3334366,0.617389,0.68317044,0.8507624,69.74187
0.6512822,0.9292803,0.29946578,0.036322296,0.8993781,67.79169
0.40040982,0.8470446,0.18007672,0.61860013,0.70287335,77.51716
0.17557359,0.34875095,0.73845714,0.65676814,0.97715276,67.69217
0.25010872,0.6952928,0.3510061,0.45738733,0.59156895,74.721825
0.5616444,0.44128257,0.13037813,0.72034353,0.001557529,78.41966
0.9099183,0.7548521,0.2368527,0.40662688,0.19990075,77.54452
0.6610216,0.54721,0.47196037,0.20811832,0.59341335,72.830956
0.72572505,0.86893016,0.7017987,0.6613409,0.53843415,74.48597
